nome_missao,programa,tipo,destino,peso_kg,data_lancamento,data_chegada,data_fim,tempo_missao,descricao_curta
"Pioneer 0 (Able 1)","Pioneer","Sonda","Lua",38,"1958-08-17","1958-08-17","1958-08-17","<1 dia","Primeira tentativa dos EUA de enviar uma sonda à Lua e ao espaço profundo; falhou após o lançamento."
"Pioneer 3","Pioneer","Sobrevoo","Lua",5.87,"1958-12-06","1958-12-07","1958-12-07","1 dia","Sonda lunar que não conseguiu alcançar a Lua, mas realizou medições importantes dos cinturões de Van Allen."
"Pioneer 4","Pioneer","Sobrevoo","Lua",6.1,"1959-03-03","1959-03-04","1959-03-04","1 dia","Primeira sonda americana a escapar da gravidade terrestre e realizar um sobrevoo lunar."
"Surveyor 1","Surveyor","Lander","Lua",995.2,"1966-05-30","1966-06-02","1967-01-07","~7 meses","Primeira espaçonave americana a realizar um pouso suave bem-sucedido na Lua."
"Lunar Orbiter 5","Lunar Orbiter","Orbitador","Lua",385.6,"1967-08-01","1967-08-03","1968-01-31","~6 meses","Mapeou a Lua e ajudou a selecionar locais para os pousos Apollo."
"Apollo 5","Apollo","Teste não tripulado","Órbita terrestre",14360,"1968-01-22","1968-01-22","1968-01-23","11 h 10 min","Primeiro teste orbital do módulo lunar Apollo, verificando seus sistemas de subida e descida."
"Apollo 8","Apollo","Missão tripulada","Lua",~30000,"1968-12-21","1968-12-24","1968-12-27","6 dias 3 h","Primeira missão tripulada a orbitar a Lua."
"Apollo 11","Apollo","Missão tripulada","Lua",~45000,"1969-07-16","1969-07-19","1969-07-24","8 dias","Primeira missão tripulada a pousar na Lua e realizar uma caminhada lunar."
"Viking 1","Viking","Orbitador + Lander","Marte",3527,"1975-08-20","1976-06-19","1982-11-11","7 anos 2 meses","Primeira missão americana a realizar um pouso bem-sucedido em Marte e estudar sua superfície."
"Voyager 1","Voyager","Sobrevoo","Júpiter e Saturno",721.9,"1977-09-05","1979-03-05","ATIVA","49+ anos","Estudou Júpiter e Saturno e tornou-se a primeira espaçonave a entrar no espaço interestelar."
"Voyager 2","Voyager","Sobrevoo","Júpiter, Saturno, Urano e Netuno",721.9,"1977-08-20","1979-07-09","ATIVA","49+ anos","Única espaçonave a visitar de perto os quatro planetas gigantes do Sistema Solar."
"ISEE-3 / ICE","ISEE","Observatório espacial","Sol-Terra / cometas",479,"1978-08-12","1978-11-20","2014-09-16","~36 anos","Estudou o vento solar e posteriormente realizou o primeiro sobrevoo de um cometa por uma espaçonave."
"Ulysses","Ulysses","Observatório solar", "Sol",371,"1990-10-06","1992-02-08","2009-06-30","18 anos 9 meses","Primeira missão a estudar sistematicamente o ambiente espacial acima e abaixo dos polos do Sol."
"Hubble Space Telescope","Great Observatories","Telescópio espacial","Órbita terrestre",11110,"1990-04-24","1990-04-25","ATIVA","36+ anos","Telescópio espacial que revolucionou a astronomia observacional e produziu imagens de alta resolução do Universo."
"Magellan","Magellan","Orbitador","Vênus",1035,"1989-05-04","1990-08-10","1994-10-13","5 anos 5 meses","Mapeou a superfície de Vênus usando radar, revelando grande parte de sua topografia."
"Galileo","Galileo","Orbitador","Júpiter",2223,"1989-10-18","1995-12-07","2003-09-21","13 anos 11 meses","Estudou Júpiter e suas luas, incluindo evidências de oceanos subterrâneos em luas geladas."
"Galileo Atmospheric Probe","Galileo","Sonda atmosférica","Júpiter",337,"1989-10-18","1995-12-07","1995-12-07","~6 anos até chegada","Sonda que entrou na atmosfera de Júpiter e transmitiu dados durante sua descida."
"Mars Global Surveyor","Mars Exploration","Orbitador","Marte",1030.5,"1996-11-07","1997-09-12","2006-11-05","~10 anos","Mapeou Marte extensivamente e encontrou evidências de processos relacionados à presença passada de água."
"ACE","Exploradores","Observatório espacial","Ponto L1 Sol-Terra",752,"1997-08-25","1998-01-21","ATIVA","28+ anos","Estuda partículas e campos do vento solar no ponto L1 para compreender o clima espacial."
"Cassini-Huygens","Flagship","Orbitador + Lander","Saturno e Titã",~5600,"1997-10-15","2004-07-01","2017-09-15","19 anos 11 meses","Estudou Saturno, seus anéis e luas; a sonda Huygens pousou em Titã."
"Huygens","Cassini-Huygens","Lander","Titã",318,"1997-10-15","2005-01-14","2005-01-14","~7 anos 3 meses até chegada","Sonda europeia transportada pela Cassini que realizou o primeiro pouso no sistema solar exterior."
"Mars Pathfinder","Mars Exploration","Lander + Rover","Marte",~890,"1996-12-04","1997-07-04","1997-09-27","~10 meses","Demonstrou uma nova técnica de pouso em Marte e colocou o rover Sojourner na superfície."
"NEAR Shoemaker","Discovery","Orbitador/Lander","Asteroide Eros",805,"1996-02-17","2000-02-12","2001-02-28","5 anos","Primeira missão a orbitar um asteroide e posteriormente pousar em sua superfície."
"Stardust","Discovery","Coleta de amostras","Cometa Wild 2",385,"1999-02-07","2004-01-02","2006-01-15","~7 anos","Coletou partículas de um cometa e poeira interestelar e retornou as amostras à Terra."
"Genesis","Discovery","Retorno de amostras","Ponto L1 Sol-Terra",636,"2001-08-08","2004-09-08","2004-09-08","~3 anos 1 mês","Coletou amostras do vento solar e trouxe a cápsula de retorno para a Terra."
"MESSENGER","Discovery","Orbitador","Mercúrio",1107.9,"2004-08-03","2011-03-18","2015-04-30","10 anos 9 meses","Primeira espaçonave a orbitar Mercúrio e estudar detalhadamente sua superfície, composição e campo magnético."
"New Horizons","New Frontiers","Sobrevoo","Plutão e Arrokoth",478,"2006-01-19","2015-07-14","ATIVA","20+ anos","Primeira missão a explorar Plutão de perto e posteriormente o objeto do Cinturão de Kuiper Arrokoth."
"Kepler","Discovery","Telescópio espacial","Órbita heliocêntrica",1039,"2009-03-06","2009-05-13","2018-10-30","9 anos 8 meses","Telescópio projetado para descobrir exoplanetas, especialmente planetas semelhantes à Terra."
"LCROSS","Lunar Exploration","Impacto","Lua",621,"2009-06-18","2009-10-09","2009-10-09","~4 meses","Impactou uma região permanentemente sombreada da Lua e ajudou a confirmar a presença de água congelada."
"LADEE","Lunar Exploration","Orbitador","Lua",383,"2013-09-07","2013-10-06","2014-04-18","7 meses","Estudou a atmosfera extremamente tênue da Lua e o ambiente de poeira lunar."
"MAVEN","Mars Exploration","Orbitador","Marte",2454,"2013-11-18","2014-09-21","2026-06-03","12 anos 6 meses","Estudou a atmosfera superior de Marte e como o vento solar contribuiu para sua perda atmosférica."
"Juno","New Frontiers","Orbitador","Júpiter",3625,"2011-08-05","2016-07-04","ATIVA","15+ anos","Estuda a estrutura interna, atmosfera, campo magnético e magnetosfera de Júpiter."
"Curiosity","Mars Exploration","Rover","Marte",899,"2011-11-26","2012-08-06","ATIVA","14+ anos","Rover que investiga a geologia e a habitabilidade passada de Marte na cratera Gale."
"Perseverance","Mars Exploration","Rover","Marte",1025,"2020-07-30","2021-02-18","ATIVA","6+ anos","Rover que procura sinais de vida microbiana antiga e coleta amostras para possível retorno à Terra."
"InSight","Mars Exploration","Lander","Marte",608,"2018-05-05","2018-11-26","2022-12-21","4 anos 7 meses","Estudou a estrutura interna de Marte usando sismologia e medições geofísicas."
"OSIRIS-REx","New Frontiers","Retorno de amostras","Asteroide Bennu",~2110,"2016-09-08","2018-12-03","2023-09-24","7 anos","Orbitou Bennu, coletou material de sua superfície e entregou amostras à Terra."
"DART","Planetary Defense","Impacto","Asteroide Dimorphos",610,"2021-11-24","2022-09-26","2022-09-26","~10 meses","Primeira demonstração tecnológica de deflexão de asteroide por impacto cinético."
"Psyche","Discovery","Orbitador","Asteroide Psyche",2608,"2023-10-13","2029-07-01","PLANEJADA","~6 anos até chegada","Missão destinada a estudar o asteroide metálico Psyche e investigar sua composição e origem."
"Europa Clipper","Flagship","Orbitador/Flyby","Europa/Júpiter",6065,"2024-10-14","2030-04-11","PLANEJADA","~5 anos 6 meses até chegada","Estudará Europa e investigará se o oceano subterrâneo da lua possui condições favoráveis à vida."
"ESCAPADE","SmallSat","Orbitadores","Marte",535,"2025-11-13","PLANEJADA","PLANEJADA","~3 anos 7 meses (planejada)","Duas pequenas espaçonaves destinadas a estudar a interação entre o vento solar e a atmosfera de Marte."
