CODIGO,QUANTIDADE,DATA,TP_VACINA,DS_FABRICANTE
430003,-100,2021-12-03,AstraZeneca,FUNDACAO OSWALDO CRUZ
430003,-100,2021-12-03,CoronaVac,FUNDACAO BUTANTAN
430003,-5,2021-10-25,CoronaVac,INSTITUTO BUTANTAN
430003,5,2021-10-20,AstraZeneca,FUNDACAO OSWALDO CRUZ
430003,6,2022-05-11,Pfizer,PFIZER MANUFACTURING BELGIUM NV - BELGICA
430003,10,2021-05-04,CoronaVac,FUNDACAO BUTANTAN
430003,10,2021-09-02,AstraZeneca,FUNDACAO OSWALDO CRUZ
430003,10,2022-11-24,CoronaVac,INSTITUTO BUTANTAN
430003,10,2022-12-13,CoronaVac,INSTITUTO BUTANTAN
430003,10,2023-01-24,CoronaVac,INSTITUTO BUTANTAN
430003,10,2023-02-01,Pfizer,PFIZER MANUFACTURING BELGIUM NV - BELGICA
430003,10,2023-02-14,CoronaVac,INSTITUTO BUTANTAN
430003,15,2021-04-02,AstraZeneca,FUNDACAO OSWALDO CRUZ
430003,18,2021-06-04,Pfizer,PFIZER MANUFACTURING BELGIUM NV - BELGICA
430003,18,2021-07-22,Pfizer,PFIZER MANUFACTURING BELGIUM NV - BELGICA
430003,20,2021-02-25,CoronaVac,FUNDACAO BUTANTAN
430003,20,2021-04-23,CoronaVac,FUNDACAO BUTANTAN
430003,20,2021-05-10,CoronaVac,FUNDACAO BUTANTAN
430003,20,2021-07-09,CoronaVac,INSTITUTO BUTANTAN
430003,20,2021-07-29,CoronaVac,INSTITUTO BUTANTAN
430003,20,2022-01-17,Janssen,JANSSEN PHARMACEUTICA NV
430003,20,2022-02-24,Pfizer,PFIZER MANUFACTURING BELGIUM NV - BELGICA
430003,20,2022-04-19,Pfizer,PFIZER MANUFACTURING BELGIUM NV - BELGICA
430003,20,2023-01-17,Pfizer,PFIZER MANUFACTURING BELGIUM NV - BELGICA
430003,24,2021-09-03,Pfizer,PFIZER MANUFACTURING BELGIUM NV - BELGICA
430003,30,2021-05-14,CoronaVac,FUNDACAO BUTANTAN
430003,30,2021-06-25,CoronaVac,INSTITUTO BUTANTAN
430003,30,2021-06-25,Janssen,JANSSEN PHARMACEUTICA NV
430003,30,2021-07-01,Pfizer,PFIZER MANUFACTURING BELGIUM NV - BELGICA
430003,30,2021-07-15,CoronaVac,INSTITUTO BUTANTAN
430003,30,2021-07-22,AstraZeneca,FUNDACAO OSWALDO CRUZ
430003,30,2021-08-03,AstraZeneca,ASTRAZENECA AB
430003,30,2021-09-02,Pfizer,PFIZER MANUFACTURING BELGIUM NV - BELGICA
430003,30,2022-02-24,Janssen,JANSSEN PHARMACEUTICA NV
430003,30,2022-06-21,Pfizer,PFIZER MANUFACTURING BELGIUM NV - BELGICA
430003,30,2022-07-15,Pfizer,PFIZER MANUFACTURING BELGIUM NV - BELGICA
430003,30,2022-12-13,Pfizer,PFIZER MANUFACTURING BELGIUM NV - BELGICA
430003,36,2021-08-13,Pfizer,PFIZER MANUFACTURING BELGIUM NV - BELGICA
430003,40,2021-01-25,AstraZeneca,FUNDACAO OSWALDO CRUZ
430003,40,2021-03-04,CoronaVac,FUNDACAO BUTANTAN
430003,40,2021-08-10,AstraZeneca,FUNDACAO OSWALDO CRUZ
430003,40,2022-02-08,Pfizer,PFIZER MANUFACTURING BELGIUM NV - BELGICA
430003,40,2022-03-29,Pfizer,PFIZER MANUFACTURING BELGIUM NV - BELGICA
430003,40,2022-04-06,Pfizer,PFIZER MANUFACTURING BELGIUM NV - BELGICA
430003,40,2022-06-09,CoronaVac,INSTITUTO BUTANTAN
430003,40,2022-10-06,CoronaVac,INSTITUTO BUTANTAN
